0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:20 +0700] "GET /library_manager/forms-layouts.html HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:23 +0700] "GET /library_manager/addBook.jsp HTTP/1.1" 200 13791
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:23 +0700] "GET /library_manager/assets/img/logo.png HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:23 +0700] "GET /library_manager/assets/img/messages-1.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:23 +0700] "GET /js/echarts.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:23 +0700] "GET /library_manager/assets/img/profile-img.jpg HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:23 +0700] "GET /js/tinymce.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:23 +0700] "GET /library_manager/assets/img/messages-3.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:23 +0700] "GET /js/validate.js HTTP/1.1" 404 691
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:23 +0700] "GET /library_manager/assets/img/messages-2.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:23 +0700] "GET /js/main.js HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:31 +0700] "GET /library_manager/addBook.jsp HTTP/1.1" 200 13791
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:31 +0700] "GET /library_manager/assets/img/messages-1.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:31 +0700] "GET /library_manager/assets/img/logo.png HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:31 +0700] "GET /library_manager/assets/img/profile-img.jpg HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:31 +0700] "GET /js/tinymce.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:31 +0700] "GET /library_manager/assets/img/messages-2.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:31 +0700] "GET /library_manager/assets/img/messages-3.jpg HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [17/Jun/2024:09:06:31 +0700] "GET /js/echarts.min.js HTTP/1.1" 404 694
